2018.12.21 20:19:03 INFO  web[][o.s.s.e.IndexCreator] Create index metadatas
2018.12.21 20:19:04 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2018.12.21 20:19:05 INFO  web[][o.s.s.e.IndexCreator] Create index components
2018.12.21 20:19:07 INFO  web[][o.s.s.e.IndexCreator] Create type components/component
2018.12.21 20:19:07 INFO  web[][o.s.s.e.IndexCreator] Create type components/authorization
2018.12.21 20:19:07 INFO  web[][o.s.s.e.IndexCreator] Create index tests
2018.12.21 20:19:09 INFO  web[][o.s.s.e.IndexCreator] Create type tests/test
2018.12.21 20:19:09 INFO  web[][o.s.s.e.IndexCreator] Create index projectmeasures
2018.12.21 20:19:10 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/projectmeasure
2018.12.21 20:19:10 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/authorization
2018.12.21 20:19:10 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2018.12.21 20:19:12 INFO  web[][o.s.s.e.IndexCreator] Create type rules/activeRule
2018.12.21 20:19:12 INFO  web[][o.s.s.e.IndexCreator] Create type rules/ruleExtension
2018.12.21 20:19:12 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2018.12.21 20:19:12 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2018.12.21 20:19:13 INFO  web[][o.s.s.e.IndexCreator] Create type issues/issue
2018.12.21 20:19:14 INFO  web[][o.s.s.e.IndexCreator] Create type issues/authorization
2018.12.21 20:19:14 INFO  web[][o.s.s.e.IndexCreator] Create index users
2018.12.21 20:19:14 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2018.12.21 20:19:14 INFO  web[][o.s.s.e.IndexCreator] Create index views
2018.12.21 20:19:16 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2018.12.21 20:19:16 INFO  web[][o.s.s.s.LogServerId] Server ID: 243B8A4D-AWfSTUmeybwyUgeqXPWM
2018.12.21 20:19:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2018.12.21 20:19:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2018.12.21 20:19:16 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/security_reports/show
2018.12.21 20:19:16 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2018.12.21 20:19:16 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2018.12.21 20:19:16 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2018.12.21 20:19:16 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2018.12.21 20:19:16 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Register rules
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:InsufficientBranchCoverage
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:InsufficientLineCoverage
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:InsufficientCommentDensity
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:DuplicatedBlocks
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:SkippedUnitTests
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule common-js:FailedUnitTests
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:UnifiedExpressionCheck
2018.12.21 20:19:16 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:InternationalizationCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:FieldsetWithoutLegendCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:PageWithoutFaviconCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ItemTagNotWithinContainerTagCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:LibraryDependencyCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:LinkToImageCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:IllegalAttributeCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:WmodeIsWindowCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:IllegalTabCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:JspScriptletCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ImgWithoutWidthOrHeightCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:InputWithoutLabelCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:FlashUsesBothObjectAndEmbedCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:LinksIdenticalTextsDifferentTargetsCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:LongJavaScriptCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:MultiplePageDirectivesCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ComplexityCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S1829
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:InlineStyleCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ImgWithoutAltCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:NonConsecutiveHeadingCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ChildElementIllegalCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:TableHeaderHasIdOrScopeCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ParentElementIllegalCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:LinkToNothingCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S1436
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:HeaderCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:MouseEventWithoutKeyboardEquivalentCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:MetaRefreshCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:AvoidCommentedOutCodeCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:DynamicJspIncludeCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:BoldAndItalicTagsCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:IllegalTagLibsCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ParentElementRequiredCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S1827
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:FileLengthCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:TableWithoutCaptionCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:UnsupportedTagsInHtml5Check
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:DoubleQuotesCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:WhiteSpaceAroundCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:DoctypePresenceCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:IllegalElementCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S4084
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ServerSideImageMapsCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:AvoidHtmlCommentCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:ChildElementRequiredCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:RequiredAttributeCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:MaxLineLengthCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:UnclosedTagCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:FrameWithoutTitleCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:PageWithoutTitleCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S4645
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S1134
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:S1135
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule Web:IllegalNamespaceCheck
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S139
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2092
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S138
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2251
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1600
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1448
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1603
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S3626
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1605
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1848
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2011
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S4433
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2010
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S2255
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S3981
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S1200
2018.12.21 20:19:17 INFO  web[][o.s.s.r.RegisterRules] Disable rule php:S3984
